Date,Year,Month,Region,Feeder,PoleNumber,AssetID,EquipmentType,Latitude,Longitude,AgeYears,ConditionScore,LoadA,WoodenPoleTiltDeg,InterferenceM,InsulatorContaminationPct,ArresterLeakageCurrentmA,FailureCount12M,MaintenanceOverdueDays,ConsequenceScore,RiskIndex,CriticalFlag,InspectionCostUSD,FailureImpactUSD,RecommendedAction
2024-01-01,2024,Jan,South,B LINE,P5,OHL-015,Overhead Line,22.684768,120.352873,11.7,7.43,221.6,7.96,4.2,,,0,76,69.0,45.2,0,143,5200,Routine monitoring
2024-01-01,2024,Jan,North,A LINE,P5,OHL-016,Overhead Line,25.053382,121.164727,29.9,9.19,208.4,6.3,4.44,,,2,94,72.7,52.8,0,201,7165,Routine monitoring
2024-01-01,2024,Jan,North,B LINE,P5,OHL-017,Overhead Line,25.140573,121.173991,17.1,4.98,216.4,7.57,4.32,,,2,90,79.9,59.6,0,160,6718,Routine monitoring
2024-01-01,2024,Jan,North,D LINE,P5,OHL-018,Overhead Line,25.031118,121.235874,20.6,8.89,213.7,5.63,4.42,,,1,97,83.7,50.7,0,185,6847,Routine monitoring
2024-01-01,2024,Jan,South,B LINE,P6,OHL-019,Overhead Line,22.60064,120.370321,21.8,6.9,217.1,7.9,4.21,,,1,57,73.1,53.3,0,139,6087,Routine monitoring
2024-01-01,2024,Jan,North,A LINE,P3,OHL-020,Overhead Line,25.010945,121.239549,20.1,5.01,215.6,6.38,4.45,,,2,70,72.5,57.9,0,154,6361,Routine monitoring
2024-01-01,2024,Jan,North,A LINE,P3,OHL-021,Overhead Line,25.01792,121.195321,22.4,5.74,211.7,12.83,4.06,,,2,9,87.7,59.0,0,190,7185,Routine monitoring
2024-01-01,2024,Jan,South,D LINE,P2,OHL-022,Overhead Line,22.666847,120.34405,8.5,4.92,218.6,6.71,4.05,,,2,53,74.2,54.3,0,155,6601,Routine monitoring
2024-01-01,2024,Jan,Central,A LINE,P6,OHL-023,Overhead Line,24.162484,120.692465,4.8,8.03,217.2,7.73,3.64,,,0,84,70.1,41.8,0,137,5097,Routine monitoring
2024-01-01,2024,Jan,North,B LINE,P5,OHL-024,Overhead Line,25.070806,121.221063,11.1,5.83,222.0,7.06,4.5,,,2,102,78.4,55.5,0,171,7254,Routine monitoring
2024-01-01,2024,Jan,South,A LINE,P1,INS-001,Insulator,22.6483,120.306682,3.4,5.32,181.9,,4.32,66.5,,1,85,63.3,47.0,0,166,5407,Routine monitoring
2024-01-01,2024,Jan,Central,D LINE,P4,INS-002,Insulator,24.100925,120.658146,4.7,6.3,178.6,,4.16,62.3,,1,98,67.5,46.8,0,159,5988,Routine monitoring
2024-01-01,2024,Jan,Central,C LINE,P4,INS-003,Insulator,24.168523,120.704271,25.7,7.85,174.1,,4.11,50.9,,1,67,63.4,49.7,0,182,6106,Routine monitoring
2024-01-01,2024,Jan,North,A LINE,P5,INS-004,Insulator,25.111003,121.170534,12.1,4.87,182.4,,3.77,66.2,,1,65,77.3,54.7,0,189,6482,Routine monitoring
2024-01-01,2024,Jan,South,B LINE,P1,INS-005,Insulator,22.691509,120.242216,8.4,7.29,178.4,,3.81,61.0,,0,77,63.4,42.0,0,144,4808,Routine monitoring
2024-01-01,2024,Jan,North,B LINE,P5,INS-006,Insulator,25.091233,121.248713,15.2,7.68,170.4,,4.16,37.3,,2,64,74.0,50.1,0,179,6083,Routine monitoring
2024-01-01,2024,Jan,North,C LINE,P2,INS-007,Insulator,25.045186,121.180323,21.7,6.9,179.2,,3.84,50.2,,1,111,75.2,54.6,0,169,6058,Routine monitoring
2024-01-01,2024,Jan,North,D LINE,P5,INS-008,Insulator,25.147784,121.301454,5.1,5.76,185.3,,3.94,48.5,,0,37,77.7,47.6,0,128,5993,Routine monitoring
2024-01-01,2024,Jan,North,B LINE,P3,INS-009,Insulator,25.047898,121.223346,18.8,6.37,183.7,,3.87,49.4,,1,97,76.3,53.7,0,135,6549,Routine monitoring
2024-01-01,2024,Jan,South,A LINE,P6,INS-010,Insulator,22.671395,120.272913,22.2,9.38,176.8,,3.53,53.9,,0,28,64.2,42.2,0,141,5114,Routine monitoring
2024-01-01,2024,Jan,North,B LINE,P3,INS-011,Insulator,25.047446,121.191488,12.9,8.17,172.5,,3.84,57.0,,0,103,66.0,41.8,0,125,4907,Routine monitoring
2024-01-01,2024,Jan,Central,A LINE,P1,INS-012,Insulator,24.1598,120.718109,4.3,5.99,182.6,,3.37,48.1,,0,22,75.2,46.6,0,135,5428,Routine monitoring
2024-01-01,2024,Jan,North,D LINE,P5,INS-013,Insulator,25.106793,121.240527,6.2,9.39,172.9,,3.77,47.6,,0,77,63.0,35.8,0,168,4847,Routine monitoring
2024-01-01,2024,Jan,North,C LINE,P5,INS-014,Insulator,25.085354,121.22217,4.2,6.32,178.8,,3.95,50.3,,0,108,76.4,47.1,0,157,5818,Routine monitoring
2024-01-01,2024,Jan,North,C LINE,P2,INS-015,Insulator,25.103489,121.255371,13.3,7.27,179.9,,3.4,45.3,,2,101,76.9,52.5,0,188,6572,Routine monitoring
2024-01-01,2024,Jan,South,B LINE,P2,INS-016,Insulator,22.678045,120.367669,26.5,8.81,179.0,,4.04,61.0,,1,0,73.8,49.2,0,188,6149,Routine monitoring
2024-01-01,2024,Jan,Central,D LINE,P6,INS-017,Insulator,24.191969,120.715505,10.7,8.71,183.0,,3.56,53.9,,0,24,76.4,42.0,0,167,5175,Routine monitoring
2024-01-01,2024,Jan,Central,B LINE,P2,INS-018,Insulator,24.185322,120.666442,11.9,8.79,183.5,,3.66,50.1,,1,40,62.8,42.4,0,162,5380,Routine monitoring
2024-01-01,2024,Jan,North,D LINE,P3,INS-019,Insulator,25.047004,121.171719,25.4,6.54,180.5,,4.53,60.2,,2,66,67.7,55.9,0,183,7042,Routine monitoring
2024-01-01,2024,Jan,South,C LINE,P1,INS-020,Insulator,22.573148,120.366856,8.2,9.03,170.8,,3.78,46.4,,0,42,61.0,36.7,0,139,4394,Routine monitoring
2024-01-01,2024,Jan,Central,C LINE,P6,ARR-001,Arrester,24.1811,120.663095,31.5,5.6,188.7,,3.73,,8.71,3,103,70.6,62.8,0,194,6942,Routine monitoring
2024-01-01,2024,Jan,North,D LINE,P1,ARR-002,Arrester,25.080789,121.274912,22.9,9.12,193.0,,3.53,,7.59,1,71,66.7,47.0,0,171,5807,Routine monitoring
2024-01-01,2024,Jan,Central,A LINE,P6,ARR-003,Arrester,24.199908,120.689242,22.2,5.71,192.2,,3.41,,7.56,1,92,74.9,55.9,0,165,5966,Routine monitoring
2024-01-01,2024,Jan,South,D LINE,P3,ARR-004,Arrester,22.613336,120.272392,6.7,6.93,190.4,,3.54,,9.54,0,105,77.0,45.2,0,129,5335,Routine monitoring
2024-01-01,2024,Jan,North,C LINE,P4,ARR-005,Arrester,25.084711,121.162057,11.3,7.06,186.5,,3.39,,7.62,0,57,72.5,45.5,0,110,5762,Routine monitoring
2024-01-01,2024,Jan,Central,D LINE,P4,ARR-006,Arrester,24.165588,120.673564,26.0,9.03,191.7,,3.05,,8.47,2,71,74.8,50.9,0,180,6216,Routine monitoring
2024-01-01,2024,Jan,Central,C LINE,P1,ARR-007,Arrester,24.185579,120.707159,22.5,5.84,201.6,,3.68,,8.45,2,32,64.6,54.3,0,178,6316,Routine monitoring
2024-01-01,2024,Jan,North,D LINE,P5,ARR-008,Arrester,25.126963,121.172196,15.0,7.83,194.3,,3.37,,9.09,0,15,76.0,46.0,0,142,5498,Routine monitoring
2024-01-01,2024,Jan,Central,D LINE,P2,ARR-009,Arrester,24.09166,120.698267,28.9,9.1,195.0,,3.26,,7.07,1,100,78.1,51.9,0,173,6104,Routine monitoring
2024-01-01,2024,Jan,North,B LINE,P6,ARR-010,Arrester,25.080514,121.169031,10.2,8.67,190.2,,3.21,,6.67,0,51,73.6,41.0,0,119,5705,Routine monitoring
2024-01-01,2024,Jan,South,C LINE,P4,ARR-011,Arrester,22.642771,120.331698,17.6,8.32,199.8,,3.14,,7.31,0,52,80.8,46.9,0,129,5516,Routine monitoring
2024-01-01,2024,Jan,South,D LINE,P4,ARR-012,Arrester,22.593287,120.265614,21.5,8.22,197.1,,3.35,,9.39,2,68,77.8,53.3,0,162,7020,Routine monitoring
2024-01-01,2024,Jan,Central,D LINE,P1,ARR-013,Arrester,24.170896,120.634829,12.7,8.71,188.2,,3.79,,5.5,1,10,67.0,42.2,0,179,5662,Routine monitoring
2024-01-01,2024,Jan,Central,B LINE,P6,ARR-014,Arrester,24.100953,120.660082,12.6,7.04,186.9,,3.34,,8.6,0,19,74.8,46.0,0,110,5943,Routine monitoring
2024-01-01,2024,Jan,Central,A LINE,P5,ARR-015,Arrester,24.124253,120.602825,13.2,8.31,192.9,,3.21,,8.2,0,97,81.2,45.6,0,132,6032,Routine monitoring
2024-01-01,2024,Jan,Central,B LINE,P4,ARR-016,Arrester,24.101719,120.663017,3.8,6.54,195.6,,3.33,,8.91,0,65,71.4,43.2,0,139,5315,Routine monitoring
2024-02-01,2024,Feb,South,A LINE,P1,OHL-001,Overhead Line,22.660817,120.265285,7.1,4.94,229.1,7.58,4.3,,,1,84,80.2,55.6,0,153,6743,Routine monitoring
2024-02-01,2024,Feb,South,D LINE,P1,OHL-002,Overhead Line,22.561172,120.261609,17.7,4.4,221.8,9.02,5.03,,,1,20,79.0,69.0,0,172,7200,Preventive maintenance (30d)
2024-02-01,2024,Feb,South,D LINE,P2,OHL-003,Overhead Line,22.619889,120.269947,28.3,8.35,229.9,8.76,3.98,,,1,33,72.9,53.1,0,164,6474,Routine monitoring
2024-02-01,2024,Feb,Central,B LINE,P2,OHL-004,Overhead Line,24.20501,120.649123,5.8,5.01,218.8,8.29,4.33,,,2,93,80.6,56.1,0,200,6785,Routine monitoring
2024-02-01,2024,Feb,North,D LINE,P5,OHL-005,Overhead Line,25.025476,121.291121,5.4,6.04,225.4,6.9,4.26,,,0,69,82.8,50.8,0,140,6515,Routine monitoring
2024-02-01,2024,Feb,Central,B LINE,P6,OHL-006,Overhead Line,24.080738,120.694577,25.5,9.05,228.6,6.0,4.02,,,1,105,81.0,55.1,0,169,6303,Routine monitoring
2024-02-01,2024,Feb,Central,C LINE,P4,OHL-007,Overhead Line,24.159996,120.653077,13.8,5.78,224.9,6.7,4.08,,,1,42,88.4,58.1,0,181,7189,Routine monitoring
2024-02-01,2024,Feb,South,A LINE,P5,OHL-008,Overhead Line,22.645897,120.30578,10.2,6.51,218.1,6.96,4.6,,,0,32,81.3,49.8,0,113,6335,Routine monitoring
2024-02-01,2024,Feb,South,B LINE,P6,OHL-009,Overhead Line,22.6024,120.338564,4.7,8.11,230.8,8.02,3.43,,,0,95,76.1,46.1,0,136,5945,Routine monitoring
2024-02-01,2024,Feb,North,B LINE,P5,OHL-010,Overhead Line,25.130691,121.206055,22.1,6.55,222.1,6.68,4.87,,,1,96,74.2,56.4,0,160,6119,Routine monitoring
2024-02-01,2024,Feb,Central,B LINE,P2,OHL-011,Overhead Line,24.175298,120.677457,24.7,6.42,224.0,6.88,4.61,,,1,70,74.8,57.4,0,165,6826,Routine monitoring
2024-02-01,2024,Feb,North,D LINE,P1,OHL-012,Overhead Line,25.11381,121.282554,7.5,5.46,218.1,9.88,3.95,,,1,84,81.3,53.7,0,150,6681,Routine monitoring
2024-02-01,2024,Feb,Central,D LINE,P5,OHL-013,Overhead Line,24.210457,120.676076,31.2,8.33,222.6,7.39,4.74,,,1,14,82.3,57.0,0,177,7117,Routine monitoring
2024-02-01,2024,Feb,South,C LINE,P6,OHL-014,Overhead Line,22.604625,120.27209,7.7,4.76,230.3,7.11,4.71,,,1,88,82.7,58.1,0,140,6528,Routine monitoring
2024-02-01,2024,Feb,South,B LINE,P5,OHL-015,Overhead Line,22.684768,120.352873,11.7,7.88,224.8,7.66,3.51,,,0,63,75.2,46.7,0,163,5240,Routine monitoring
2024-02-01,2024,Feb,North,A LINE,P5,OHL-016,Overhead Line,25.053382,121.164727,30.0,8.55,229.3,8.06,4.19,,,1,92,77.6,55.6,0,156,6451,Routine monitoring
2024-02-01,2024,Feb,North,B LINE,P5,OHL-017,Overhead Line,25.140573,121.173991,17.2,5.07,220.8,7.21,5.13,,,2,83,81.8,61.4,0,178,7754,Routine monitoring
2024-02-01,2024,Feb,North,D LINE,P5,OHL-018,Overhead Line,25.031118,121.235874,20.7,8.97,232.2,10.05,4.22,,,1,105,81.1,54.1,0,178,6223,Routine monitoring
2024-02-01,2024,Feb,South,B LINE,P6,OHL-019,Overhead Line,22.60064,120.370321,21.9,6.47,227.3,7.38,5.01,,,1,64,74.7,57.2,0,146,6935,Routine monitoring
2024-02-01,2024,Feb,North,A LINE,P3,OHL-020,Overhead Line,25.010945,121.239549,20.1,4.41,224.0,7.32,4.63,,,1,76,69.7,65.5,0,189,6573,Preventive maintenance (30d)
2024-02-01,2024,Feb,North,A LINE,P3,OHL-021,Overhead Line,25.01792,121.195321,22.5,5.28,231.9,9.14,4.12,,,2,25,82.1,63.6,0,158,7712,Routine monitoring
2024-02-01,2024,Feb,South,D LINE,P2,OHL-022,Overhead Line,22.666847,120.34405,8.6,5.03,217.1,7.14,4.35,,,2,47,77.2,55.3,0,167,6696,Routine monitoring
2024-02-01,2024,Feb,Central,A LINE,P6,OHL-023,Overhead Line,24.162484,120.692465,4.8,7.66,223.7,8.86,4.19,,,0,91,75.0,46.0,0,124,5299,Routine monitoring
2024-02-01,2024,Feb,North,B LINE,P5,OHL-024,Overhead Line,25.070806,121.221063,11.2,5.72,226.8,9.26,4.58,,,2,103,73.8,56.3,0,180,7373,Routine monitoring
2024-02-01,2024,Feb,South,A LINE,P1,INS-001,Insulator,22.6483,120.306682,3.5,5.09,185.7,,3.77,70.6,,2,90,61.8,62.3,0,187,6968,Routine monitoring
2024-02-01,2024,Feb,Central,D LINE,P4,INS-002,Insulator,24.100925,120.658146,4.8,6.53,184.8,,3.28,55.6,,1,113,61.6,46.4,0,167,5834,Routine monitoring
2024-02-01,2024,Feb,Central,C LINE,P4,INS-003,Insulator,24.168523,120.704271,25.8,7.36,191.9,,4.18,52.8,,1,54,60.6,52.5,0,189,5835,Routine monitoring
2024-02-01,2024,Feb,North,A LINE,P5,INS-004,Insulator,25.111003,121.170534,12.2,4.68,191.6,,4.19,64.3,,2,55,77.6,59.2,0,203,7385,Routine monitoring
2024-02-01,2024,Feb,South,B LINE,P1,INS-005,Insulator,22.691509,120.242216,8.5,7.64,185.7,,3.86,42.1,,0,79,67.2,45.6,0,114,5406,Routine monitoring
2024-02-01,2024,Feb,North,B LINE,P5,INS-006,Insulator,25.091233,121.248713,15.2,7.54,188.2,,3.44,61.1,,2,53,73.4,52.6,0,171,6172,Routine monitoring
2024-02-01,2024,Feb,North,C LINE,P2,INS-007,Insulator,25.045186,121.180323,21.8,6.99,185.1,,3.8,54.7,,2,100,78.6,59.5,0,198,7360,Routine monitoring
2024-02-01,2024,Feb,North,D LINE,P5,INS-008,Insulator,25.147784,121.301454,5.2,5.92,181.8,,3.55,58.9,,0,43,71.5,47.5,0,144,5653,Routine monitoring
2024-02-01,2024,Feb,North,B LINE,P3,INS-009,Insulator,25.047898,121.223346,18.8,6.14,194.7,,3.81,54.3,,1,118,73.1,57.1,0,136,6696,Routine monitoring
2024-02-01,2024,Feb,South,A LINE,P6,INS-010,Insulator,22.671395,120.272913,22.3,8.94,185.7,,3.58,68.5,,1,16,61.4,46.6,0,159,5222,Routine monitoring
2024-02-01,2024,Feb,North,B LINE,P3,INS-011,Insulator,25.047446,121.191488,13.0,8.03,186.7,,3.67,60.6,,1,96,69.5,49.4,0,133,6016,Routine monitoring
2024-02-01,2024,Feb,Central,A LINE,P1,INS-012,Insulator,24.1598,120.718109,4.4,6.43,193.1,,3.92,57.6,,0,32,78.0,48.7,0,118,6122,Routine monitoring
2024-02-01,2024,Feb,North,D LINE,P5,INS-013,Insulator,25.106793,121.240527,6.3,8.64,188.4,,3.19,76.2,,0,88,63.3,40.9,0,153,4989,Routine monitoring
2024-02-01,2024,Feb,North,C LINE,P5,INS-014,Insulator,25.085354,121.22217,4.3,6.49,192.7,,3.42,66.1,,0,117,75.2,48.4,0,156,5861,Routine monitoring
2024-02-01,2024,Feb,North,C LINE,P2,INS-015,Insulator,25.103489,121.255371,13.3,6.98,195.0,,4.0,61.8,,1,110,72.6,53.0,0,172,6093,Routine monitoring
2024-02-01,2024,Feb,South,B LINE,P2,INS-016,Insulator,22.678045,120.367669,26.6,8.99,193.8,,3.72,64.1,,1,5,72.2,51.8,0,160,5852,Routine monitoring
2024-02-01,2024,Feb,Central,D LINE,P6,INS-017,Insulator,24.191969,120.715505,10.8,8.56,182.0,,3.72,50.8,,0,25,76.7,44.6,0,112,5745,Routine monitoring
2024-02-01,2024,Feb,Central,B LINE,P2,INS-018,Insulator,24.185322,120.666442,11.9,8.34,189.9,,3.47,68.4,,0,30,60.4,42.8,0,138,5190,Routine monitoring
2024-02-01,2024,Feb,North,D LINE,P3,INS-019,Insulator,25.047004,121.171719,25.5,6.37,184.3,,3.71,54.0,,1,51,70.7,55.6,0,173,6534,Routine monitoring
2024-02-01,2024,Feb,South,C LINE,P1,INS-020,Insulator,22.573148,120.366856,8.3,9.31,195.1,,3.55,54.6,,0,33,60.3,38.6,0,115,4597,Routine monitoring
2024-02-01,2024,Feb,Central,C LINE,P6,ARR-001,Arrester,24.1811,120.663095,31.6,5.08,206.8,,3.58,,10.73,2,111,65.7,63.8,0,179,6901,Routine monitoring
2024-02-01,2024,Feb,North,D LINE,P1,ARR-002,Arrester,25.080789,121.274912,23.0,8.95,201.9,,3.45,,8.36,1,96,70.9,49.6,0,159,6403,Routine monitoring
2024-02-01,2024,Feb,Central,A LINE,P6,ARR-003,Arrester,24.199908,120.689242,22.3,5.31,204.5,,3.72,,8.16,1,111,75.2,60.2,0,154,6740,Routine monitoring
2024-02-01,2024,Feb,South,D LINE,P3,ARR-004,Arrester,22.613336,120.272392,6.8,6.35,205.9,,3.5,,7.98,2,107,73.1,52.7,0,208,6539,Routine monitoring
2024-02-01,2024,Feb,North,C LINE,P4,ARR-005,Arrester,25.084711,121.162057,11.4,6.81,202.4,,3.7,,8.5,1,75,74.5,52.3,0,149,6260,Routine monitoring
2024-02-01,2024,Feb,Central,D LINE,P4,ARR-006,Arrester,24.165588,120.673564,26.1,9.01,206.7,,3.53,,7.58,1,81,71.8,52.0,0,150,6500,Routine monitoring
2024-02-01,2024,Feb,Central,C LINE,P1,ARR-007,Arrester,24.185579,120.707159,22.6,5.68,208.3,,3.18,,7.83,1,36,65.8,55.6,0,173,6304,Routine monitoring
2024-02-01,2024,Feb,North,D LINE,P5,ARR-008,Arrester,25.126963,121.172196,15.1,7.19,204.6,,3.44,,8.27,2,35,75.8,54.6,0,187,6965,Routine monitoring
2024-02-01,2024,Feb,Central,D LINE,P2,ARR-009,Arrester,24.09166,120.698267,29.0,8.82,199.4,,3.99,,10.36,2,90,73.3,62.9,0,174,7433,Routine monitoring
2024-02-01,2024,Feb,North,B LINE,P6,ARR-010,Arrester,25.080514,121.169031,10.3,8.82,211.0,,3.24,,6.81,0,45,74.5,45.0,0,128,5265,Routine monitoring
2024-02-01,2024,Feb,South,C LINE,P4,ARR-011,Arrester,22.642771,120.331698,17.7,8.73,202.5,,3.41,,7.99,2,72,79.5,52.4,0,164,6933,Routine monitoring
2024-02-01,2024,Feb,South,D LINE,P4,ARR-012,Arrester,22.593287,120.265614,21.6,7.96,212.6,,3.19,,10.15,1,58,75.7,53.3,0,177,6141,Routine monitoring
2024-02-01,2024,Feb,Central,D LINE,P1,ARR-013,Arrester,24.170896,120.634829,12.8,8.47,207.8,,3.39,,8.59,1,28,70.1,46.5,0,172,5720,Routine monitoring
2024-02-01,2024,Feb,Central,B LINE,P6,ARR-014,Arrester,24.100953,120.660082,12.7,6.73,201.1,,3.76,,9.11,0,7,80.8,50.0,0,145,5760,Routine monitoring
2024-02-01,2024,Feb,Central,A LINE,P5,ARR-015,Arrester,24.124253,120.602825,13.3,8.21,205.5,,3.54,,8.18,1,87,81.0,51.3,0,163,6918,Routine monitoring
2024-02-01,2024,Feb,Central,B LINE,P4,ARR-016,Arrester,24.101719,120.663017,3.9,6.11,212.0,,3.13,,6.58,0,79,74.2,49.7,0,115,5825,Routine monitoring
2024-03-01,2024,Mar,South,A LINE,P1,OHL-001,Overhead Line,22.660817,120.265285,7.2,4.97,220.7,10.16,4.92,,,1,99,81.8,77.0,1,159,8194,Corrective maintenance (7d)
2024-03-01,2024,Mar,South,D LINE,P1,OHL-002,Overhead Line,22.561172,120.261609,17.8,4.92,224.0,9.61,4.46,,,1,21,77.3,59.7,0,159,7189,Routine monitoring
2024-03-01,2024,Mar,South,D LINE,P2,OHL-003,Overhead Line,22.619889,120.269947,28.4,8.21,216.6,7.51,3.73,,,1,19,76.4,54.0,0,164,6696,Routine monitoring
2024-03-01,2024,Mar,Central,B LINE,P2,OHL-004,Overhead Line,24.20501,120.649123,5.9,4.69,222.9,8.58,4.67,,,1,108,76.4,57.1,0,144,6316,Routine monitoring
2024-03-01,2024,Mar,North,D LINE,P5,OHL-005,Overhead Line,25.025476,121.291121,5.5,5.64,221.2,8.46,4.49,,,2,73,80.3,57.1,0,168,7001,Routine monitoring
2024-03-01,2024,Mar,Central,B LINE,P6,OHL-006,Overhead Line,24.080738,120.694577,25.6,9.01,223.5,7.98,4.61,,,1,97,87.2,56.9,0,139,7224,Routine monitoring
2024-03-01,2024,Mar,Central,C LINE,P4,OHL-007,Overhead Line,24.159996,120.653077,13.9,5.51,215.8,8.53,4.01,,,1,39,86.3,69.0,0,134,7398,Preventive maintenance (30d)
2024-03-01,2024,Mar,South,A LINE,P5,OHL-008,Overhead Line,22.645897,120.30578,10.3,6.75,210.4,6.79,4.64,,,0,29,84.9,50.6,0,116,5890,Routine monitoring
2024-03-01,2024,Mar,South,B LINE,P6,OHL-009,Overhead Line,22.6024,120.338564,4.8,8.32,210.6,4.93,4.26,,,0,103,76.5,44.4,0,153,5509,Routine monitoring
2024-03-01,2024,Mar,North,B LINE,P5,OHL-010,Overhead Line,25.130691,121.206055,22.2,6.52,221.1,10.63,4.78,,,1,97,73.9,57.6,0,131,6405,Routine monitoring
2024-03-01,2024,Mar,Central,B LINE,P2,OHL-011,Overhead Line,24.175298,120.677457,24.8,6.64,221.4,9.06,4.31,,,1,76,79.7,60.1,0,170,7001,Routine monitoring
2024-03-01,2024,Mar,North,D LINE,P1,OHL-012,Overhead Line,25.11381,121.282554,7.6,5.24,219.6,8.05,4.39,,,1,75,79.8,55.4,0,147,6798,Routine monitoring
2024-03-01,2024,Mar,Central,D LINE,P5,OHL-013,Overhead Line,24.210457,120.676076,31.3,8.47,217.7,9.61,4.82,,,1,7,79.7,56.3,0,155,6937,Routine monitoring
2024-03-01,2024,Mar,South,C LINE,P6,OHL-014,Overhead Line,22.604625,120.27209,7.8,4.76,209.4,7.72,4.05,,,1,78,82.3,56.0,0,144,6428,Routine monitoring
2024-03-01,2024,Mar,South,B LINE,P5,OHL-015,Overhead Line,22.684768,120.352873,11.8,7.67,210.1,7.04,4.02,,,2,70,74.3,51.5,0,168,6263,Routine monitoring
2024-03-01,2024,Mar,North,A LINE,P5,OHL-016,Overhead Line,25.053382,121.164727,30.1,8.63,212.7,6.51,4.62,,,2,88,78.0,57.4,0,208,7536,Routine monitoring
2024-03-01,2024,Mar,North,B LINE,P5,OHL-017,Overhead Line,25.140573,121.173991,17.3,4.92,221.7,8.67,4.27,,,1,89,81.3,60.6,0,172,7240,Routine monitoring
2024-03-01,2024,Mar,North,D LINE,P5,OHL-018,Overhead Line,25.031118,121.235874,20.8,9.2,218.2,10.67,4.4,,,1,110,80.0,68.9,0,135,7491,Preventive maintenance (30d)
2024-03-01,2024,Mar,South,B LINE,P6,OHL-019,Overhead Line,22.60064,120.370321,22.0,6.28,213.4,6.52,4.31,,,2,68,69.4,58.0,0,202,6579,Routine monitoring
2024-03-01,2024,Mar,North,A LINE,P3,OHL-020,Overhead Line,25.010945,121.239549,20.2,4.83,209.4,7.43,4.42,,,2,97,74.9,62.6,0,204,7224,Routine monitoring
2024-03-01,2024,Mar,North,A LINE,P3,OHL-021,Overhead Line,25.01792,121.195321,22.6,5.66,215.2,9.46,4.46,,,1,22,85.1,60.2,0,180,7487,Routine monitoring
2024-03-01,2024,Mar,South,D LINE,P2,OHL-022,Overhead Line,22.666847,120.34405,8.7,4.83,215.8,7.11,4.48,,,1,50,74.9,55.1,0,149,6301,Routine monitoring
2024-03-01,2024,Mar,Central,A LINE,P6,OHL-023,Overhead Line,24.162484,120.692465,4.9,8.06,217.1,6.48,4.15,,,0,100,74.3,45.4,0,157,5273,Routine monitoring
